11 0.083287671  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520669 -0.91520635 -0.49703005 3.2811514 3.2811518 3.3520068 3.3520069 5.3265352 5.5595868 6.3876403 7.1473437 7.8505523 9.1885539
12 0.091616438  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49703003 3.2811514 3.2811518 3.3520068 3.3520069 5.3275679 5.5574946 6.3909124 7.1437698 7.8507603 9.188526
13 0.099945206  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49702997 3.2811514 3.2811518 3.3520068 3.3520069 5.3306556 5.5513653 6.4005023 7.1332987 7.8513525 9.1884705
14 0.10827397  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49702987 3.2811514 3.2811518 3.3520068 3.3520069 5.335767 5.5416115 6.41575 7.1166643 7.8522422 9.1884227
15 0.11660274  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182259 -2.1229811 -2.122981 -0.91520669 -0.91520634 -0.49702976 3.2811514 3.2811518 3.3520068 3.3520069 5.3428467 5.5288373 6.4356037 7.0950422 7.8533104 9.188389
16 0.12493151  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182259 -2.1229811 -2.122981 -0.91520669 -0.91520635 -0.49702963 3.2811514 3.2811518 3.3520068 3.3520069 5.3518097 5.5137509 6.4586515 7.0700114 7.8544308 9.1883672
17 0.13326027  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.2182259 -2.1229811 -2.122981 -0.9152067 -0.91520635 -0.49702951 3.2811514 3.2811518 3.3520068 3.3520069 5.3625287 5.4970931 6.4831109 7.0435503 7.8554897 9.1883531
18 0.14158904  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.4970294 3.2811514 3.2811518 3.3520068 3.3520069 5.3748016 5.4796104 6.5067751 7.0180678 7.8563964 9.1883441
19 0.14991781  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.4970293 3.2811514 3.2811518 3.3520068 3.3520069 5.3882419 5.4621293 6.5269836 6.9964097 7.8570855 9.1883388
20 0.15824658  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.49702924 3.2811514 3.2811518 3.3520068 3.3520069 5.4017264 5.446092 6.5408149 6.9816452 7.8575145 9.188336
